Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
the shawshank redemption,1994,Drama,9.3,two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency,80.0,frankdarabont,timrobbins,morganfreeman,bobgunton,the shawshank redemption drama frankdarabont timrobbins morganfreeman bobgunton two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency
the godfather,1972,"Crime, Drama",9.2,an organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son,100.0,francisfordcoppola,marlonbrando,alpacino,jamescaan,the godfather crime drama francisfordcoppola marlonbrando alpacino jamescaan an organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son
the dark knight,2008,"Action, Crime, Drama",9.0,when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice,84.0,christophernolan,christianbale,heathledger,aaroneckhart,the dark knight action crime drama christophernolan christianbale heathledger aaroneckhart when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice
the godfather: part ii,1974,"Crime, Drama",9.0,the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate,90.0,francisfordcoppola,alpacino,robertdeniro,robertduvall,the godfather: part ii crime drama francisfordcoppola alpacino robertdeniro robertduvall the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate
12 angry men,1957,"Crime, Drama",9.0,a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence,96.0,sidneylumet,henryfonda,leejcobb,martinbalsam,12 angry men crime drama sidneylumet henryfonda leejcobb martinbalsam a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence
the lord of the rings: the return of the king,2003,"Action, Adventure, Drama",8.9,gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam as they approach mount doom with the one ring,94.0,peterjackson,elijahwood,viggomortensen,ianmckellen,the lord of the rings: the return of the king action adventure drama peterjackson elijahwood viggomortensen ianmckellen gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam as they approach mount doom with the one ring
pulp fiction,1994,"Crime, Drama",8.9,the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption,94.0,quentintarantino,johntravolta,umathurman,samuelljackson,pulp fiction crime drama quentintarantino johntravolta umathurman samuelljackson the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption
schindler's list,1993,"Biography, Drama, History",8.9,in german-occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis,94.0,stevenspielberg,liamneeson,ralphfiennes,benkingsley,schindler's list biography drama history stevenspielberg liamneeson ralphfiennes benkingsley in german-occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis
inception,2010,"Action, Adventure, Sci-Fi",8.8,a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a ceo,74.0,christophernolan,leonardodicaprio,josephgordon-levitt,elliotpage,inception action adventure sci-fi christophernolan leonardodicaprio josephgordon-levitt elliotpage a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a ceo
fight club,1999,Drama,8.8,an insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much much more,66.0,davidfincher,bradpitt,edwardnorton,meatloaf,fight club drama davidfincher bradpitt edwardnorton meatloaf an insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much much more
